 Time [s],Channel 1-Analog,Channel 2-Analog,Channel 3-Analog, Time [s],Channel 0-Digital
0.000000000000000, -0.01739, -0.00519, 0.00153, 0.000000000000000, 0
0.010000000000000, -0.01221, -0.00519, 0.00153, 3.696676032000000, 1
0.020000000000000, -0.01221, -0.00007, 0.00153, 8.562588600000000, 0
0.030000000000000, -0.01739, -0.00519, 0.00153, , 
0.040000000000000, -0.01739, -0.00519, 0.00153, , 
0.050000000000000, -0.01221, -0.00519, 0.00153, , 
0.060000000000000, -0.01221, -0.00519, 0.00153, , 
0.070000000000000, -0.01221, -0.00519, 0.00153, , 
0.080000000000000, -0.01221, -0.00519, 0.00670, , 
0.090000000000000, -0.01221, -0.00007, 0.00153, , 
0.100000000000000, -0.01739, -0.00519, 0.00153, , 
0.110000000000000, -0.01221, -0.00519, 0.00153, , 
0.120000000000000, -0.01221, -0.00007, 0.00153, , 
0.130000000000000, -0.01221, -0.00007, 0.00670, , 
0.140000000000000, -0.01221, -0.00007, 0.00153, , 
0.150000000000000, -0.01221, -0.00519, 0.00153, , 
0.160000000000000, -0.01221, -0.00519, 0.00153, , 
0.170000000000000, -0.01221, -0.00519, 0.00153, , 
0.180000000000000, -0.01221, -0.00519, 0.00153, , 
0.190000000000000, -0.01221, -0.00519, 0.00153, , 
0.200000000000000, -0.01221, -0.00519, 0.00153, , 
0.210000000000000, -0.01221, -0.00519, 0.00153, , 
0.220000000000000, -0.01221, -0.00519, 0.00670, , 
0.230000000000000, -0.01221, -0.00519, 0.00153, , 
0.240000000000000, -0.01739, -0.00519, 0.00153, , 
0.250000000000000, -0.01221, -0.01031, 0.00153, , 
0.260000000000000, -0.01221, -0.00519, 0.00153, , 
0.270000000000000, -0.01739, -0.00007, 0.00670, , 
0.280000000000000, -0.01221, -0.00007, 0.00153, , 
0.290000000000000, -0.01739, -0.00519, 0.00153, , 
0.300000000000000, -0.01221, -0.00007, 0.00153, , 
0.310000000000000, -0.01739, -0.00007, 0.00153, , 
0.320000000000000, -0.01221, -0.00007, 0.00153, , 
0.330000000000000, -0.01739, -0.00519, 0.00153, , 
0.340000000000000, -0.01739, -0.00519, 0.00153, , 
0.350000000000000, -0.01221, -0.00519, 0.00153, , 
0.360000000000000, -0.01221, -0.00519, 0.00153, , 
0.370000000000000, -0.01739, -0.00007, 0.00153, , 
0.380000000000000, -0.01221, -0.00519, 0.00670, , 
0.390000000000000, -0.01739, -0.00007, 0.00153, , 
0.400000000000000, -0.01739, -0.00519, 0.00153, , 
0.410000000000000, -0.01221, -0.00519, 0.00153, , 
0.420000000000000, -0.01739, -0.00519, 0.00153, , 
0.430000000000000, -0.01221, -0.00007, 0.00153, , 
0.440000000000000, -0.01739, -0.00519, 0.00153, , 
0.450000000000000, -0.01739, -0.00519, 0.00153, , 
0.460000000000000, -0.01221, -0.00519, 0.00153, , 
0.470000000000000, -0.01739, -0.00519, 0.00153, , 
0.480000000000000, -0.01221, -0.00519, 0.00153, , 
0.490000000000000, -0.01739, -0.00519, 0.00153, , 
0.500000000000000, -0.01739, -0.00519, 0.00153, , 
0.510000000000000, -0.01221, -0.00007, 0.00153, , 
0.520000000000000, -0.01739, -0.00519, 0.00153, , 
0.530000000000000, -0.01739, -0.00519, 0.00670, , 
0.540000000000000, -0.01739, -0.00007, 0.00153, , 
0.550000000000000, -0.01221, -0.00519, 0.00153, , 
0.560000000000000, -0.01739, -0.00007, 0.00153, , 
0.570000000000000, -0.01739, -0.00519, 0.00153, , 
0.580000000000000, -0.01739, -0.00519, 0.00153, , 
0.590000000000000, -0.01739, -0.00519, 0.00153, , 
0.600000000000000, -0.01739, -0.00519, 0.00153, , 
0.610000000000000, -0.01221, -0.00519, 0.00153, , 
0.620000000000000, -0.01221, -0.00519, 0.00153, , 
0.630000000000000, -0.01221, -0.00519, 0.00153, , 
0.640000000000000, -0.01739, -0.01031, 0.00670, , 
0.650000000000000, -0.01739, -0.00519, 0.00153, , 
0.660000000000000, -0.01739, -0.00519, 0.00670, , 
0.670000000000000, -0.01221, -0.00519, 0.00153, , 
0.680000000000000, -0.01221, -0.00007, 0.00153, , 
0.690000000000000, -0.01221, -0.00519, 0.00153, , 
0.700000000000000, -0.01221, -0.01031, 0.00670, , 
0.710000000000000, -0.01739, -0.00519, 0.00670, , 
0.720000000000000, -0.01739, -0.00519, 0.00670, , 
0.730000000000000, -0.01221, -0.00007, 0.00670, , 
0.740000000000000, -0.01739, -0.00007, 0.00670, , 
0.750000000000000, -0.01739, -0.00007, 0.00670, , 
0.760000000000000, -0.01739, -0.00519, 0.00153, , 
0.770000000000000, -0.01221, -0.00519, 0.00670, , 
0.780000000000000, -0.01739, -0.00007, 0.00153, , 
0.790000000000000, -0.01739, -0.00007, 0.00670, , 
0.800000000000000, -0.01221, -0.00519, 0.00153, , 
0.810000000000000, -0.01221, -0.00519, 0.00153, , 
0.820000000000000, -0.01739, -0.00007, 0.00153, , 
0.830000000000000, -0.01739, -0.00519, 0.00153, , 
0.840000000000000, -0.01739, -0.00007, 0.00153, , 
0.850000000000000, -0.01739, -0.00519, 0.00153, , 
0.860000000000000, -0.01221, -0.00519, 0.00670, , 
0.870000000000000, -0.01221, -0.00519, 0.00153, , 
0.880000000000000, -0.01739, -0.00519, 0.00153, , 
0.890000000000000, -0.01221, -0.00007, 0.00670, , 
0.900000000000000, -0.01221, -0.00519, 0.00153, , 
0.910000000000000, -0.01739, -0.00519, 0.00153, , 
0.920000000000000, -0.01221, -0.00519, 0.00670, , 
0.930000000000000, -0.01221, -0.00007, 0.00153, , 
0.940000000000000, -0.01739, -0.00519, 0.00153, , 
0.950000000000000, -0.01739, -0.00007, 0.00670, , 
0.960000000000000, -0.01739, -0.00519, 0.00670, , 
0.970000000000000, -0.01739, -0.00519, 0.00670, , 
0.980000000000000, -0.01739, -0.00519, 0.00153, , 
0.990000000000000, -0.01739, -0.00519, 0.00153, , 
1.000000000000000, -0.01739, -0.00519, 0.00670, , 
1.010000000000000, -0.01221, -0.00519, 0.00670, , 
1.020000000000000, -0.01739, -0.00519, 0.00153, , 
1.030000000000000, -0.01221, -0.00519, 0.00153, , 
1.040000000000000, -0.01739, -0.00007, 0.00153, , 
1.050000000000000, -0.01739, -0.00007, 0.00153, , 
1.060000000000000, -0.01739, -0.00519, 0.00670, , 
1.070000000000000, -0.01739, -0.00007, 0.00670, , 
1.080000000000000, -0.01739, -0.00007, 0.00670, , 
1.090000000000000, -0.01221, -0.00519, 0.00670, , 
1.100000000000000, -0.01221, -0.00519, 0.00670, , 
1.110000000000000, -0.01739, -0.00519, 0.00153, , 
1.120000000000000, -0.01739, -0.00519, 0.00153, , 
1.130000000000000, -0.01739, -0.00519, 0.00670, , 
1.140000000000000, -0.01739, -0.01031, 0.00670, , 
1.150000000000000, -0.01739, -0.00519, 0.00153, , 
1.160000000000000, -0.01739, -0.00519, 0.00153, , 
1.170000000000000, -0.01739, -0.00519, 0.00670, , 
1.180000000000000, -0.01221, -0.00519, 0.00670, , 
1.190000000000000, -0.01221, -0.00519, 0.00670, , 
1.200000000000000, -0.01739, -0.00519, 0.00670, , 
1.210000000000000, -0.01221, -0.00519, 0.00670, , 
1.220000000000000, -0.01221, -0.00519, 0.00670, , 
1.230000000000000, -0.01221, -0.00519, 0.00153, , 
1.240000000000000, -0.01739, -0.00007, 0.00670, , 
1.250000000000000, -0.01739, -0.00519, 0.00670, , 
1.260000000000000, -0.01739, -0.00519, 0.00670, , 
1.270000000000000, -0.01221, -0.00519, 0.00153, , 
1.280000000000000, -0.01221, -0.00519, 0.00670, , 
1.290000000000000, -0.01739, -0.00519, 0.00153, , 
1.300000000000000, -0.01221, -0.00519, 0.00670, , 
1.310000000000000, -0.01739, -0.00519, 0.00670, , 
1.320000000000000, -0.01739, -0.00007, 0.00670, , 
1.330000000000000, -0.01221, -0.00007, 0.00670, , 
1.340000000000000, -0.01221, -0.00519, 0.00670, , 
1.350000000000000, -0.01739, -0.00007, 0.00670, , 
1.360000000000000, -0.01739, -0.00007, 0.00670, , 
1.370000000000000, -0.01221, -0.00007, 0.00670, , 
1.380000000000000, -0.01221, -0.00007, 0.00153, , 
1.390000000000000, -0.01221, -0.00519, 0.00670, , 
1.400000000000000, -0.01221, -0.00007, 0.00670, , 
1.410000000000000, -0.01739, -0.00007, 0.00670, , 
1.420000000000000, -0.01221, -0.00519, 0.00670, , 
1.430000000000000, -0.01221, -0.00519, 0.00153, , 
1.440000000000000, -0.01221, -0.00519, 0.00153, , 
1.450000000000000, -0.01739, -0.00519, 0.00670, , 
